country|blacklist
Germany|also
Germany|from;Hippo;William;has;Augustine;with;David
Germany|Augustine;one;Henry
Pakistan|which
Pakistan|Hippo;with;James;one;Augustine;Green;which;has;also
Pakistan|from
Russia|Robert
Russia|that;one;with;Robert;Pope;James;from;also;David
Russia|Pope
Philippines|with;Green
Philippines|from;with;Augustine;Robert;which;Green;that;also;has
Philippines|one;Augustine;that
Vietnam|which
Vietnam|Robert;Henry;James;one;which;with;Green;also;Pope
Vietnam|David;Green;Robert;with;Henry;that
Mexico|Pope;from
Mexico|Green;one
Mexico|from;James;William;David;Pope;album
Indonesia|with;which;Robert
Indonesia|Henry;Augustine
Indonesia|Green
United_States|Henry;William;Hippo
United_States|album;David;one;also;Hippo
United_States|which;Pope;from;Green;album;that;Robert
Brazil|which;James
Brazil|Green
Brazil|Robert;with;album;Henry
Japan|with;that
Japan|also
Japan|Green;Henry;which;one;from
